series,prefecture,name,address
pripara,熊本県,モーリーファンタジー熊本中央,熊本県熊本市中央区大江４－２－１ イオン２階
pripara,熊本県,サンゲームス熊本インタープラザ,熊本県熊本市東区御領８丁目４番８２
pripara,熊本県,ＦＥＳＴＡ山鹿,熊本県山鹿市方保田字鳥越３４６８－１ Ｍｒ．Ｍａｘ山鹿ショッピングセンター内
pripara,熊本県,モーリーファンタジー八代,熊本県八代市沖町六番割３９８７－３イオン２階
pripara,熊本県,モーリーファンタジーあらおシティモール,熊本県荒尾市緑ヶ丘１－１－１あらおシティモール２階
pripara,熊本県,ＦＥＳＴＡ人吉,熊本県人吉市宝来町１３０７－１ 人吉レックス内
pripara,熊本県,モーリーファンタジー田崎,熊本県熊本市西区田崎町字下寄３８０番地 イオンタウン１階
pripara,熊本県,モーリーファンタジー天草,熊本県天草市亀場町食場後山下７４０ イオン２階
pripara,熊本県,モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池２２３２ イオン２階
pripara,熊本県,アムズ下通り,熊本県熊本市中央区手取本町４番１２号
