series,prefecture,name,address
pripara,石川県,アピナ野々市,石川県野々市市白山町４－１イオンタウン野々市店内
pripara,石川県,アミュージアム津幡,石川県河北郡津幡町北中条１－１アル・プラザ津幡店２Ｆ
pripara,石川県,アル・プラザ加賀,石川県加賀市作見町ル２５－１　玩具売場
pripara,石川県,ジョーシン金沢本店,石川県金沢市戸板西２－７玩具売場
pripara,石川県,プリハピ,石川県金沢市堅田町２４
pripara,石川県,モーリーファンタジーｆ御経塚,石川県野々市市御経塚２丁目９１番地イオン1階
pripara,石川県,モーリーファンタジーかほく,石川県かほく市内日角地内タ２５番イオン2階
pripara,石川県,モーリーファンタジー新小松,石川県小松市沖周辺土地区画整理事業地内仮換地２０街区イオンモール３階
pripara,石川県,モーリーファンタジー杜の里,石川県金沢市もりの里１丁目７０番地イオン２Ｆ
pripara,石川県,レジャーランド加賀,石川県加賀市箱宮町ヲ１番－１
pripara,石川県,レジャーランド藤江新館,石川県金沢市藤江南２－１０５
pripara,石川県,金沢メトロポリス,石川県金沢市無量寺４丁目１２１番地１
