series,prefecture,name,address
primagi,岐阜県,namcoイオンモール各務原店,岐阜県各務原市那加萱場町3-8ｲｵﾝﾓｰﾙ各務原店2F
primagi,岐阜県,namcoイオンモール大垣店,岐阜県大垣市外野2丁目100番地ｲｵﾝﾓｰﾙ大垣店2F
primagi,岐阜県,namcoカラフルタウン岐阜店,岐阜県岐阜市柳津町丸野三丁目3番6ｶﾗﾌﾙﾀｳﾝ岐阜内
primagi,岐阜県,namcoモレラ岐阜店,岐阜県本巣市三橋1100ﾓﾚﾗ岐阜店2F
primagi,岐阜県,アピタ御嵩,岐阜県可児郡御嵩町上恵土1052-1
primagi,岐阜県,アピタ大垣,岐阜県大垣市林町6-80-21
primagi,岐阜県,アピタ北方,岐阜県本巣郡北方町平成2-3
primagi,岐阜県,アピナ各務原,岐阜県各務原市蘇原花園町2-9
primagi,岐阜県,アピナ本巣,岐阜県本巣市政田字下西浦1986 ｲｵﾝﾀｳﾝ本巣内
primagi,岐阜県,アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬641-2
primagi,岐阜県,セガマーゴ関,岐阜県関市倉知516
primagi,岐阜県,セガワールドアクアウォーク大垣,岐阜県大垣市林町6-80-21 ｱｸｱｳｫｰｸ大垣2F
primagi,岐阜県,セガ多治見,岐阜県多治見市住吉町1-1-1
primagi,岐阜県,バローランド羽島,岐阜県羽島市江吉良町2939 ﾊﾞﾛｰ羽島ｲﾝﾀｰ店1F
primagi,岐阜県,バローランド中津川,岐阜県中津川市淀川町3-8 ﾙﾋﾞｯﾄﾀｳﾝ2F
primagi,岐阜県,バロー萩原,岐阜県下呂市萩原町大字花池字川原164-1 ﾊﾞﾛｰ萩原店
primagi,岐阜県,ピアゴ多治見,岐阜県多治見市住吉町3-19-1 ﾋﾟｱｺﾞ多治見店
primagi,岐阜県,モーリーファンタジーf岐阜,岐阜県岐阜市正木中1-2-1 ﾏｰｻ21北館3Fｲｵﾝ岐阜店3階
primagi,岐阜県,モーリーファンタジー各務原,岐阜県各務原市那加萱場町3-8 ｲｵﾝ各務原店3階
primagi,岐阜県,モーリーファンタジー関,岐阜県関市倉知516 ｻﾝｻﾝｼﾃｨﾏｰｺﾞ1Fｲｵﾝ関店1階
primagi,岐阜県,モーリーファンタジー岐阜,岐阜県岐阜市正木中1-2-1 ｲｵﾝ岐阜店2階
primagi,岐阜県,モーリーファンタジー多治見,岐阜県多治見市西坂町5-31-1 多治見ｲﾝﾀｰﾓｰﾙ1F
primagi,岐阜県,モーリーファンタジー大垣,岐阜県大垣市外野2-100 ｲｵﾝ大垣店2階
primagi,岐阜県,ラウンドワンモレラ岐阜,岐阜県本巣市三橋1100
primagi,岐阜県,ルビットランド高山,岐阜県高山市岡本町3-18-2 ﾙﾋﾞｯﾄﾀｳﾝ2F
primagi,岐阜県,大垣メトロポリス,岐阜県大垣市三塚町字西沼523番地1
