key,prefecture,name,address
kumamoto_0,熊本県,パスカワールド宇土,熊本県宇土市善道寺町綾織９５宇土シティモール内
kumamoto_1,熊本県,イオン菊陽,熊本県菊池郡菊陽町津久礼２４７２　玩具売場
kumamoto_2,熊本県,タイトーステーションゆめタウン光の森店,熊本県菊池郡菊陽町津久礼３３１０
kumamoto_3,熊本県,ピノキオランド玉名,熊本県玉名市亀甲字前田１１０カリーノ玉名店２Ｆ
kumamoto_4,熊本県,トイザらス熊本,熊本県熊本市上南部２－２－２　ゆめタウンサンピアン１Ｆ
kumamoto_5,熊本県,モーリーファンタジー田崎,熊本県熊本市西区田崎町字下寄３８０番地イオンタウン１階
kumamoto_6,熊本県,アムズ下通り,熊本県熊本市中央区手取本町４－１２
kumamoto_7,熊本県,モーリーファンタジー熊本中央,熊本県熊本市中央区大江４－２－１
kumamoto_8,熊本県,ペリカンはません,熊本県熊本市田井島１－２－１ゆめタウンはません内２Ｆ
kumamoto_9,熊本県,サンゲームス熊本インタープラザ,熊本県熊本市東区御領８－４－８２
kumamoto_10,熊本県,パスカワールド長嶺,熊本県熊本市東区長嶺西１－５－１シュロアモール長嶺店内
kumamoto_11,熊本県,ミスターマックス熊本南,熊本県熊本市南区十弾寺３丁目４番１４号
kumamoto_12,熊本県,パスカランドはません,熊本県熊本市南区田井島１丁目２－１ゆめタウンはません３階
kumamoto_13,熊本県,パスカワールドグリーンランド,熊本県荒尾市本井手１５７４番５４
kumamoto_14,熊本県,モーリーファンタジーあらおシティーモール,熊本県荒尾市緑ヶ丘１－１－１あらおシティーモール２Ｆ
kumamoto_15,熊本県,ペリカンあらお,熊本県荒尾市緑ケ丘１丁目１－１－２Ｆあらおシティモール
kumamoto_16,熊本県,ＦＥＳＴＡ山鹿,熊本県山鹿市方保田字鳥越３４６８－１Ｍｒ．Ｍａｘ山鹿ショッピングセンター内
kumamoto_17,熊本県,イオン熊本,熊本県上益城郡嘉島町上島字長池２２３２　イオン２Ｆ玩具売場
kumamoto_18,熊本県,モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池２２３２イオン２Ｆ
kumamoto_19,熊本県,楽市楽座イオンモール熊本,熊本県上益城郡嘉島町大字上島長池２２３２
kumamoto_20,熊本県,ＦＥＳＴＡ人吉,熊本県人吉市宝来町１３０７－１人吉レックス内
kumamoto_21,熊本県,モーリーファンタジー天草,熊本県天草市　亀場町食場後山下７４０イオン２Ｆ
kumamoto_22,熊本県,イオン八代,熊本県八代市沖町六番割３９８７－３　玩具売場
kumamoto_23,熊本県,モーリーファンタジー八代,熊本県八代市沖町六番割３９８７－３イオン２Ｆ
kumamoto_24,熊本県,タイトーステーションゆめタウン八代,熊本県八代市建馬町３－１ゆめタウン八代２Ｆ
