series,prefecture,name,address
prichan,山形県,ＳＯＹＵＧａｍｅＦｉｅｌｄ天童店,山形県天童市芳賀タウン北四丁目１番１号　イオンモール天童２階
prichan,山形県,アピナ鶴岡,山形県鶴岡市文下字広野１－１
prichan,山形県,イオン三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２Ｆ玩具売場
prichan,山形県,イオン東根,山形県東根市さくらんぼ駅前３丁目７番１５号
prichan,山形県,イオン米沢,山形県米沢市春日２－１３－４玩具売場
prichan,山形県,スタジオプリモ山形,山形県山形市城南町１－１－１霞城セントラル２Ｆ
prichan,山形県,ビーカム成沢,山形県山形市成沢西５－３－２７
prichan,山形県,モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２Ｆ
prichan,山形県,モーリーファンタジー山形南,山形県山形市若宮３－７－８イオン２階
prichan,山形県,モーリーファンタジー山形北,山形県山形市馬見ケ崎２－１２－１９イオン２階
prichan,山形県,モーリーファンタジー酒田南,山形県酒田市あきほ町１２０－１イオン１Ｆ
prichan,山形県,モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区イオン３Ｆ
prichan,山形県,モーリーファンタジー東根,山形県東根市さくらんぼ駅前３丁目７番１５号
prichan,山形県,モーリーファンタジー米沢,山形県米沢市春日２－１３－４イオン２Ｆ
prichan,山形県,わくわくランド新庄,山形県新庄市金沢字大道上２０３３－４ヤマザワ新庄店内
prichan,山形県,わくわくランド中山,山形県東村山郡中山町大字長崎新町３０３０－１ヤマザワ中山店内
prichan,山形県,わくわくランド北町,山形県山形市桧町４－４－２１ヤマザワ北町店内
