series,prefecture,name,address
pripara,新潟県,キラキラＡｓｏｂｏｘ新潟白根,新潟県新潟市南区能登４０９－２イオン白根店１Ｆ
pripara,新潟県,ＰＡＬＯ十日町,新潟県十日町市旭町１６１リオン・ドール十日町
pripara,新潟県,アピタ新潟西,新潟県新潟市小新４７４　玩具売場
pripara,新潟県,イトーヨーカドー丸大新潟,新潟県新潟市中央区本町通６－１１２２－１
pripara,新潟県,アピタ長岡,新潟県長岡市千秋二丁目２７８番地　玩具売場
pripara,新潟県,アピナ上越インター,新潟県上越市下門前１６６１
pripara,新潟県,アピナ長岡,新潟県長岡市堺東町２２
pripara,新潟県,イオン三条,新潟県三条市西裏館２－１２－２０玩具売場
pripara,新潟県,イオン新潟南,新潟県新潟市江南区下早通柳田１－１－１玩具売場
pripara,新潟県,カプコサーカス新潟東,新潟県新潟市東区大形本町３－１－２　イオン新潟東店内ゲームコーナー
pripara,新潟県,ハローズガーデン長岡,新潟県長岡市千秋２－２７８アピタＲＩＶＥＲＳＩＤＥＳＥＮＳＨＵ長岡店２Ｆ
pripara,新潟県,ビックカメラ新潟,新潟県新潟市中央区花園１－１－２ＣｏＣｏＬｏ南館内
pripara,新潟県,モーリーファンタジー・ｆ新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール２Ｆ
pripara,新潟県,モーリーファンタジー県央,新潟県燕市井土巻３－６５　イオン２Ｆ
pripara,新潟県,モーリーファンタジー十日町,新潟県十日町市字川端丑７８４－１イオン１階
pripara,新潟県,モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田３３９イオン２階
pripara,新潟県,モーリーファンタジー上越,新潟県上越市富岡３４５８番地アコーレ２階アコーレ2階
pripara,新潟県,モーリーファンタジー新潟青山,新潟県新潟市西区青山２－５－１イオン２Ｆ
pripara,新潟県,モーリーファンタジー新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号　イオンモール３Ｆ
pripara,新潟県,モーリーファンタジー新発田,新潟県新発田市住吉町５丁目１１番５号イオン２Ｆ
