series,prefecture,name,address,latitude,longitude
primagi,山口県,namcoおのだサンパーク店,山口県山陽小野田市中川6丁目4番1号おのだｻﾝﾊﾟｰｸｼｮｯﾋﾟﾝｸﾞｾﾝﾀ2F,33.984946,131.170981
primagi,山口県,namcoフジグラン宇部店,山口県宇部市明神町三丁目1番1号ﾌｼﾞｸﾞﾗﾝ宇部店2F,33.930447,131.255606
primagi,山口県,PALO防府,山口県防府市中央町1-3 ｲｵﾝ防府店3階,34.052166,131.569825
primagi,山口県,THE 3RD PLANET 山口,山口県山口市湯田温泉6丁目8番3号,34.164734,131.451808
primagi,山口県,アミパラ下関,山口県下関市長府才川1丁目42-48,34.025330,131.007485
primagi,山口県,アミパラ新南陽店,山口県周南市古市1-4-1イオンタウン周南内,34.068244,131.758339
primagi,山口県,アミュージアム周南,山口県下松市中央町21-3ゆめﾀｳﾝ下松3F,34.018627,131.862967
primagi,山口県,セガ小郡,山口県山口市小郡前田町3-6,34.086998,131.398637
primagi,山口県,ソユーファミリーゲームフィールド 防府,山口県防府市鐘紡町7番1号ｲｵﾝﾀｳﾝ防府1F,34.048313,131.590145
primagi,山口県,タイトーFステーション 山口メルクス,山口県山口市大字黒川82-1 ﾊｲﾊﾟｰﾓｰﾙﾒﾙｸｽ内,34.178294,131.473843
primagi,山口県,てくもぴあ阿知須,山口県山口市阿知須4825-1 ｻﾝﾊﾟｰｸあじす2階,34.009534,131.351623
primagi,山口県,トイザらス下関,山口県下関市ゆめﾀｳﾝ1-1ゆめﾀｳﾝ長府内,34.030402,131.012845
primagi,山口県,ふぇすたらんど下松,山口県下松市南花岡六丁目8番1号 ｻﾝﾘﾌﾞ下松店2F,34.030367,131.865284
primagi,山口県,フジグラン宇部,山口県宇部市明神町3-1-1,33.930617,131.256893
primagi,山口県,フジグラン岩国,山口県岩国市麻里布町2-9-8,34.168692,132.223372
primagi,山口県,フジグラン岩国店,山口県岩国市山口県岩国市麻里布町2-9-8ﾌｼﾞｸﾞﾗﾝ岩国店5F,34.168674,132.223332
primagi,山口県,ペリカン宇部,山口県宇部市妻崎開作411ゆめﾀｳﾝ宇部内1F,33.971338,131.208027
primagi,山口県,ペリカン山口,山口県山口市大内千坊6-9-1 ゆめﾀｳﾝ山口内2F,34.160385,131.491345
primagi,山口県,モーリーファンタジー下関,山口県下関市竹崎町4-4-7 ｼｰﾓｰﾙｴｽﾄ4F,33.949128,130.923202
primagi,山口県,モーリーファンタジー光,山口県光市浅江字木園1756-1 ｲｵﾝ光店2階,33.979152,131.927618
primagi,山口県,ゆめシティ,山口県下関市下関市伊倉新町3-1-1,34.006652,130.934141
