series,prefecture,name,address
pripara,静岡県,キッズトレイン三島,静岡県駿東郡清水町伏見５８－１ サントムーンアネックス３Ｆ
pripara,静岡県,モーリーファンタジー袋井,静岡県袋井市上山梨４丁目１番地の１ イオン２階
pripara,静岡県,シートピアＹＡＺ大須賀,静岡県掛川市西大渕３３５９ イオンタウン大須賀Ｈ棟
pripara,静岡県,仔熊松坂屋静岡,静岡県静岡市葵区御幸町１０－２松坂屋静岡店本館５階 玩具売場
pripara,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ沼津,静岡県沼津市大手町１丁目１番５号
pripara,静岡県,イトーヨーカドー沼津,静岡県沼津市高島本町１－５ 玩具売場
pripara,静岡県,イトーヨーカドー静岡,静岡県静岡市駿河区曲金３－１－５ 玩具売場
pripara,静岡県,モーリーファンタジー焼津,静岡県焼津市祢宜島５５５イオン２Ｆ
pripara,静岡県,スタジオプリモ沼津,静岡県沼津市大手町３－４－１ 沼津ラクーン５Ｆ
pripara,静岡県,モーリーファンタジー・ｆ富士南,静岡県富士市鮫島１１８－１０イオンタウン２Ｆ
pripara,静岡県,ジョイランドアミューズ三島,静岡県三島市梅名３０８－６
pripara,静岡県,イオン清水,静岡県静岡市清水区上原１－６－１６ 玩具売場
pripara,静岡県,仔熊遠鉄,静岡県浜松市中区砂山町 ３２０－２ 遠鉄百貨店 本館５Ｆ玩具売場
pripara,静岡県,モーリーファンタジー御殿場,静岡県御殿場市萩原６３６番地
pripara,静岡県,ＭＡＲＫＩＳ静岡,静岡県静岡市葵区柚木１９１ ＭＡＲＫ ＩＳ  静岡３階
pripara,静岡県,プラサカプコン志都呂,静岡県浜松市西区志都呂町５６０５ イオンモール浜松志都呂 ３Ｆ
pripara,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴ島田,静岡県島田市　中溝町２５３１番地
pripara,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ静岡,静岡県静岡市清水区鳥坂８６０番地
pripara,静岡県,プリズムストーン静岡店,静岡県静岡市葵区伝馬町６－１ 静岡東急スクエアＢ１Ｆ
pripara,静岡県,セガワールド静岡,静岡県静岡市葵区七間町４－２静活 プラザビル１，２Ｆ
pripara,静岡県,モーリーファンタジー浜松西,静岡県浜松市西区入野町６２４４－１ イオン３Ｆ
pripara,静岡県,ジョイランドアミューズ諏訪,静岡県沼津市大諏訪叶２０－２
pripara,静岡県,モーリーファンタジー富士宮,静岡県富士宮市浅間町１－８ イオンモール２Ｆ
pripara,静岡県,モーリーファンタジー浜松志都呂,静岡県浜松市西区志都呂町２丁目３７番１号 イオン３Ｆ
pripara,静岡県,モーリーファンタジー浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３ イオン２階
pripara,静岡県,モーリーファンタジー裾野,静岡県裾野市佐野１０３９
pripara,静岡県,タイトーＦステーション浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３ イオンモール浜松市野店１Ｆ
pripara,静岡県,タイトーＦステーションイオン富士宮,静岡県富士宮市浅間町１番８号
pripara,静岡県,サントムーン柿田川,静岡県駿東郡清水町伏見字泉頭５８番地の１
pripara,静岡県,ＹＡＺ磐田,静岡県磐田市西貝塚横須賀道北３６９０ イオンタウン内
