series,prefecture,name,address
pripara,岩手県,アミューズメントゾーン北上,岩手県北上市本通り二丁目２－１さくら野百貨店北上店４Ｆ
pripara,岩手県,モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ イオンスーパーセンター盛岡渋民店1階
pripara,岩手県,ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２－２
pripara,岩手県,イオン盛岡,岩手県盛岡市前潟４丁目７－１ホビー売り場
pripara,岩手県,プラサカプコン盛岡,岩手県盛岡市前潟４丁目７番１号 イオンモール盛岡２Ｆ
pripara,岩手県,モーリーファンタジー遠野,岩手県遠野市新穀町１－１１  とぴあ２階
pripara,岩手県,モーリーファンタジー盛岡南,岩手県盛岡市津志田西２丁目１７－５０ 盛岡南ショッピングセンターサンサ店１Ｆ
pripara,岩手県,モーリーファンタジー一関,岩手県一関市山目字泥田８９－１イオン２階
pripara,岩手県,モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ イオンスーパーセンター一関店1階
pripara,岩手県,ＳＯＹＵＧａｍｅＦｉｅｌｄ釜石,岩手県釜石市港町二丁目１番１号 イオンタウン釜石店３Ｆ
pripara,岩手県,モーリーファンタジー前沢,岩手県奥州市前沢区向田２丁目８５ イオン２Ｆ
pripara,岩手県,モーリーファンタジーイオン盛岡南,岩手県盛岡市本宮７－１－１ イオン３Ｆ
pripara,岩手県,ＳＯＹＵ　Ｇａｍｅ　Ｆｉｅｌｄ盛岡南店,岩手県盛岡市本宮７－１－１ イオンモール盛岡南１Ｆ
pripara,岩手県,ＳＯＹＵ　Ｆａｍｉｌｙ　Ｇａｍｅ　Ｆｉｅｌｄ花巻店,岩手県花巻市高木第１６地割６８番地６銀河 モール花巻内
