series,prefecture,name,address
pripara,福岡県,イオン若松,福岡県北九州市若松区二島１－３－１　玩具売場
pripara,福岡県,イオン直方,福岡県直方市湯野原２－１－１　玩具売場
pripara,福岡県,ゲームらんど乙金,福岡県大野城市乙金３丁目２３番１号イオン乙金ＳＣ内北街区Ｂ
pripara,福岡県,サンゲームス新宮,福岡県糟屋郡新宮町美咲３－１－４０
pripara,福岡県,タイトーステーションキャナルシティ博多,福岡県福岡市博多区住吉１－２－２２キャナルシティ博多４Ｆ・５Ｆ
pripara,福岡県,タイトーステーションヨドバシ博多,福岡県福岡市博多区博多駅中央街６ー１２
pripara,福岡県,タイトーステーションリバーウォーク,福岡県北九州市小倉北区室町１－１－１リバーウォーク北九州４Ｆ5409
pripara,福岡県,タイトーステーション福岡天神,福岡県福岡市中央区天神２－６－３５サザンクロスビル
pripara,福岡県,トイザらス福岡香椎,福岡県福岡市東区香椎浜３１２－１
pripara,福岡県,トイザらス大牟田,福岡県大牟田市旭町２２８－１
pripara,福岡県,ドン・キホーテ福重,福岡県福岡市西区拾六町１－７－１
pripara,福岡県,ビックカメラ天神,福岡県福岡市中央区天神２－４－５
pripara,福岡県,プリズムストーン  福岡店,福岡県福岡市中央区今泉1-25-1　ビックカメラ天神1号館Bブロック内 2F アニメガ×ソフマップ天神１号館内
pripara,福岡県,ふぇすたらんど久留米,福岡県久留米市野中町１４１１－１　サンリブ久留米店内
pripara,福岡県,ふぇすたらんど古賀,福岡県古賀市天神２丁目５－１　サンリブ古賀店内
pripara,福岡県,ふぇすたらんど田川,福岡県田川市大字川宮１６９３－１　サンリブ田川店内
pripara,福岡県,プラサカプコン直方,福岡県直方市湯野原２－１－１　イオンモール直方２Ｆ
pripara,福岡県,ペリカン遠賀,福岡県遠賀郡遠賀町松の本１－１－１　ゆめタウン横賀２Ｆ
pripara,福岡県,ペリカン行橋,福岡県行橋市西宮市３－８－１　ゆめタウン行橋内２Ｆ
pripara,福岡県,ミスターマックス春日,福岡県春日市星見ヶ丘４－７
pripara,福岡県,ミスターマックス大牟田,福岡県大牟田市馬渡町１－１ミスターマックス大牟田店内
pripara,福岡県,ミスターマックス筑紫野,福岡県筑紫野市原田８３６－２０ミスターマックス筑紫野店内
pripara,福岡県,ミスターマックス土井,福岡県福岡市東区青葉７－６１－１ミスターマックス土井店内
pripara,福岡県,ミスターマックス粕屋,福岡県糟屋郡粕屋町仲原２７１４ミスターマックス粕屋店内
pripara,福岡県,モーリーファンタジースーパーセンター大木,福岡県三潴郡大木町蛭池１２００番地ＳｕＣ１Ｆ
pripara,福岡県,モーリーファンタジーなかま,福岡県中間市上蓮花寺１丁目１番１号イオン１階
pripara,福岡県,モーリーファンタジーマリナタウン,福岡県福岡市西区豊浜３－１－１０イオン2階
pripara,福岡県,モーリーファンタジー香椎浜,福岡県福岡市東区香椎浜３－１２－１イオンモール２Ｆ
pripara,福岡県,モーリーファンタジー笹丘,福岡県福岡市中央区笹丘１－２８－７４
pripara,福岡県,モーリーファンタジー大牟田,福岡県大牟田市岬町３－４イオン2階
pripara,福岡県,モーリーファンタジー大野城,福岡県大野城市錦町４－１－１　　イオン３Ｆ
pripara,福岡県,モーリーファンタジー筑後,福岡県筑後市大字上北島字井原口１２５９－１トライアル筑後店１Ｆ
pripara,福岡県,モーリーファンタジー筑紫野,福岡県筑紫野市大字立明寺４３４－１イオン３Ｆ
pripara,福岡県,モーリーファンタジー田川,福岡県田川市大字伊田４６１６トライアル田川店１Ｆ
pripara,福岡県,モーリーファンタジー八幡東,福岡県北九州市八幡東区東田３丁目２－１０２　イオン３Ｆ
pripara,福岡県,モーリーファンタジー飯塚,福岡県飯塚市大字徳前１－４
pripara,福岡県,モーリーファンタジー福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２－１イオン2階
pripara,福岡県,モーリーファンタジー福岡伊都,福岡県福岡市西区北原１丁目２番１号　イオンモール３Ｆ
pripara,福岡県,モーリーファンタジー福岡空港,福岡県糟屋郡志免町別府２－１７－２０スーパーセンタートライアル福岡空港店1階
pripara,福岡県,モーリーファンタジー福津,福岡県福津市日蒔野６－１６－１イオン2階
pripara,福岡県,ヤマダ電機テックランド福岡志免本店,福岡県糟屋郡志免町南里５－２－１玩具売場
pripara,福岡県,ヨドバシカメラ博多,福岡県福岡市博多区博多駅中央街６－１２２階玩具フロア　玩具売場
pripara,福岡県,小倉メトロポリス,福岡県北九州市小倉北区西港町２７－５
