series,prefecture,name,address
primagi,静岡県,AMららぽーと沼津,静岡県沼津市東椎路字東荒301-3 ららぽｰと沼津3F
primagi,静岡県,namcoアピタ磐田店,静岡県磐田市今之浦3-1-11ｱﾋﾟﾀ磐田店2階
primagi,静岡県,namcoららぽーと磐田店,静岡県磐田市高見丘1200番地ららぽｰと磐田店2F
primagi,静岡県,THE 3RD PLANET BiVi沼津,静岡県沼津市大手町1-1-5 BiVi沼津3F
primagi,静岡県,THE 3RD PLANET OZ浜松,静岡県浜松市東区宮竹町322番地の1
primagi,静岡県,THE 3RD PLANET 富士,静岡県富士市永田町2-99
primagi,静岡県,アピタ大仁,静岡県伊豆の国市吉田字九十分153-1
primagi,静岡県,アピタ磐田,静岡県磐田市今之浦3-1-11
primagi,静岡県,アピナ磐田,静岡県磐田市西貝塚横須賀道北3690 ｲｵﾝﾀｳﾝ磐田内
primagi,静岡県,アピナ浜松,静岡県浜松市中区葵西2-27-10 ｲｵﾝﾀｳﾝ内
primagi,静岡県,アミュージアム清水,静岡県静岡市清水区入船町13-15ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞ3F
primagi,静岡県,アミューズメントパーク静岡,静岡県静岡市葵区柚木191 MARKIS静岡3階
primagi,静岡県,イトーヨーカドー三島,静岡県三島市中田町9-30
primagi,静岡県,セガサントムーンオアシス,静岡県駿東郡清水町伏見52-1 サントムーンオアシス３階
primagi,静岡県,セガ掛川,静岡県掛川市細田248
primagi,静岡県,セガ静岡,静岡県静岡市葵区七間町4
primagi,静岡県,セガ袋井,静岡県袋井市川井1142-1
primagi,静岡県,ソユー竜宮タウン 静岡,静岡県静岡市駿河区石田一丁目5番1号ｱﾋﾟﾀ静岡SC2F
primagi,静岡県,タイトーFステーション イオンモール浜松市野,静岡県浜松市東区天王町字諏訪1981-3 ｲｵﾝﾓｰﾙ浜松市野店2F
primagi,静岡県,タイトーFステーション イオン富士宮,静岡県富士宮市浅間町1番8号 ｲｵﾝ富士宮ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ3階
primagi,静岡県,タイトーFステーション プレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢1200番地
primagi,静岡県,タイトーFステーション 静岡,静岡県静岡市葵区呉服町二丁目5番地4 ふしみや第2ﾋﾞﾙ
primagi,静岡県,タイトーステーション 新浜松ザザシティ,静岡県浜松市中区鍛冶町15番地 ｻﾞｼﾃｨ西館2F
primagi,静岡県,トイザらス静岡,静岡県静岡市清水区鳥坂860ｸﾚｯｾ静岡2F
primagi,静岡県,パレット藤枝,静岡県藤枝市前島1-7-10 BiVi藤枝4F
primagi,静岡県,ハローズガーデン島田,静岡県島田市宝来町8-2 ｱﾋﾟﾀ島田店2F
primagi,静岡県,ビックカメラ浜松,静岡県浜松市中区砂山町322-1
primagi,静岡県,ミシマトイス,静岡県三島市本町3-35
primagi,静岡県,メルヘンランド ウェルディ長泉,静岡県駿東郡長泉町下長窪字城山1076-1 ｳｪﾙﾃﾞｨ長泉2F
primagi,静岡県,モーリーファンタジーf富士南,静岡県富士市鮫島118-10 ｲｵﾝ富士南SC店2階
primagi,静岡県,モーリーファンタジー焼津,静岡県焼津市祢宜島555 ｲｵﾝ焼津店2階
primagi,静岡県,モーリーファンタジー裾野,静岡県裾野市佐野1039 ﾏｯｸｽﾊﾞﾘｭｰﾍﾞﾙｼﾃｨｰ裾野店
primagi,静岡県,モーリーファンタジー清水,静岡県静岡市清水区上原1-6-16 ｲｵﾝ清水店2階
primagi,静岡県,モーリーファンタジー袋井,静岡県袋井市上山梨4-1-の1 ｲｵﾝ袋井店2階
primagi,静岡県,モーリーファンタジー浜松市野,静岡県浜松市東区天王町字諏訪1981-3 ｲｵﾝ浜松市野店2階
primagi,静岡県,モーリーファンタジー浜松志都呂,静岡県浜松市西区志都呂町2-37-1 ｲｵﾝ3F
primagi,静岡県,モーリーファンタジー浜松西,静岡県浜松市西区入野町6244-1 ｲｵﾝ浜松西店3階
primagi,静岡県,モーリーファンタジー富士宮,静岡県富士宮市浅間町1-8 ｲｵﾝ富士宮店2階
