series,prefecture,name,address
pripara,群馬県,ユーズランド高崎,群馬県高崎市棟高町１４００番地
pripara,群馬県,アピタ高崎,群馬県高崎市矢中町字渕ノ内６６８－１ 玩具売場
pripara,群馬県,アピタ前橋,群馬県前橋市文京町２－１－１ 玩具売場
pripara,群馬県,モーリーファンタジーミスターマックス伊勢崎,群馬県伊勢崎市宮子町３５５６番地１ ミスターマックス１Ｆ
pripara,群馬県,アピナ太田,群馬県太田市内ヶ島町９０７－１
pripara,群馬県,モーリーファンタジー倉賀野,群馬県高崎市倉賀野町４６９１－１ミスターマックス倉賀野店１Ｆ
pripara,群馬県,モーリーファンタジー高崎,群馬県高崎市棟高町１４００番地 イオン３Ｆ
pripara,群馬県,ユーズランド太田,群馬県太田市石原町８１番地 イオンモール太田２Ｆ
pripara,群馬県,アミュージアム伊勢崎,群馬県伊勢崎市連取町１５０７ イトーヨーカドー伊勢崎店２Ｆ
pripara,群馬県,モーリーファンタジー太田,群馬県太田市石原町８１番地 イオン２Ｆ
pripara,群馬県,モーリーファンタジーガーデン前橋,群馬県前橋市小屋原町４７２－１ ガーデン前橋１階
pripara,群馬県,ハローズガーデン前橋,群馬県前橋市文京町２－１－１アピタけやきウォーク前橋店２階
pripara,群馬県,タイトーＦステーション前橋リリカ,群馬県前橋市国領町２－１４－１ 前橋リリカ２Ｆ
