key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
ir01_01,IR01-01,IR,レインボースカイイルミナージュみらいドレス,ワンピース,65400,ピンク,sweet_honey,ラブリー,1600,レインボースカイイルミナージュみらい,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_02,IR01-02,IR,レインボースカイイルミナージュみらいシューズ,シューズ,65401,ピンク,sweet_honey,ラブリー,800,レインボースカイイルミナージュみらい,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_03,IR01-03,IR,レインボースカイイルミナージュみらいヘアアクセ,ヘアアクセ,65402,ピンク,sweet_honey,ラブリー,800,レインボースカイイルミナージュみらい,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_04,IR01-04,IR,レインボースカイイルミナージュえもドレス,ワンピース,65403,水色,girls_yell,ポップ,1600,レインボースカイイルミナージュえも,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_05,IR01-05,IR,レインボースカイイルミナージュえもシューズ,シューズ,65404,水色,girls_yell,ポップ,800,レインボースカイイルミナージュえも,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_06,IR01-06,IR,レインボースカイイルミナージュえもヘアアクセ,ヘアアクセ,65405,水色,girls_yell,ポップ,800,レインボースカイイルミナージュえも,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_07,IR01-07,IR,レインボースカイイルミナージュりんかドレス,ワンピース,65406,紫,secret_alice,クール,1600,レインボースカイイルミナージュりんか,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_08,IR01-08,IR,レインボースカイイルミナージュりんかシューズ,シューズ,65407,紫,secret_alice,クール,800,レインボースカイイルミナージュりんか,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir01_09,IR01-09,IR,レインボースカイイルミナージュりんかヘアアクセ,ヘアアクセ,65408,紫,secret_alice,クール,800,レインボースカイイルミナージュりんか,プリたま1弾,イルミナージュコーデ,2020-04-02,2020-06-03
ir02_01,IR02-01,IR,メロディーファンタジーイルミナージュあんなドレス,ワンピース,65409,赤,dolly_waltz,ラブリー,1600,メロディーファンタジーイルミナージュあんな,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_02,IR02-02,IR,メロディーファンタジーイルミナージュあんなシューズ,シューズ,65410,赤,dolly_waltz,ラブリー,800,メロディーファンタジーイルミナージュあんな,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_03,IR02-03,IR,メロディーファンタジーイルミナージュあんなヘアアクセ,ヘアアクセ,65411,赤,dolly_waltz,ラブリー,800,メロディーファンタジーイルミナージュあんな,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_04,IR02-04,IR,メロディーファンタジーイルミナージュさらドレス,ワンピース,65412,緑,romance_beat,クール,1600,メロディーファンタジーイルミナージュさら,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_05,IR02-05,IR,メロディーファンタジーイルミナージュさらシューズ,シューズ,65413,緑,romance_beat,クール,800,メロディーファンタジーイルミナージュさら,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_06,IR02-06,IR,メロディーファンタジーイルミナージュさらヘアアクセ,ヘアアクセ,65414,緑,romance_beat,クール,800,メロディーファンタジーイルミナージュさら,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_07,IR02-07,IR,メロディーファンタジーイルミナージュめるドレス,ワンピース,65415,紫,universe_queen,クール,1600,メロディーファンタジーイルミナージュめる,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_08,IR02-08,IR,メロディーファンタジーイルミナージュめるシューズ,シューズ,65416,紫,universe_queen,クール,800,メロディーファンタジーイルミナージュめる,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_09,IR02-09,IR,メロディーファンタジーイルミナージュめるヘアアクセ,ヘアアクセ,65417,紫,universe_queen,クール,800,メロディーファンタジーイルミナージュめる,プリたま2弾,イルミナージュコーデ,2020-07-30,2020-09-30
ir02_10,IR02-10,IR,パレードイルミナージュシューズ,シューズ,65418,赤,little_princess_egg,プレミアム,800,パレードイルミナージュシューズ,プリたま2弾,第1回マスコット認定試験,2020-08-09,2020-09-09
