key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
j1_01,J1-01,HR,しらゆきひめワンピ,ワンピース,71007,青,スイートハニー,ラブリー,2000,J1-02,みらいコレクション,4月4日（木）～5月22日（水）
j1_02,J1-02,HR,しらゆきひめシューズ,シューズ,71008,青,スイートハニー,ラブリー,950,J1-02,みらいコレクション,4月4日（木）～5月22日（水）
j1_03,J1-03,HR,しらゆきひめヘアアクセ,ヘアアクセ,71009,赤,スイートハニー,ラブリー,950,J1-02,みらいコレクション,4月4日（木）～5月22日（水）
j1_04,J1-04,PR,ミラクルアイドルラブリートップス,トップス,71010,ピンク,スイートハニー,ラブリー,900,J1-03,みらいコレクション,4月4日（木）～5月22日（水）
j1_05,J1-05,PR,ミラクルアイドルラブリースカート,ボトムス,71011,ピンク,スイートハニー,ラブリー,850,J1-03,みらいコレクション,4月4日（木）～5月22日（水）
j1_06,J1-06,PR,ミラクルアイドルラブリーシューズ,シューズ,71012,ピンク,スイートハニー,ラブリー,800,J1-03,みらいコレクション,4月4日（木）～5月22日（水）
j1_07,J1-07,PR,ミラクルアイドルラブリーヘアアクセ,ヘアアクセ,71013,ピンク,スイートハニー,ラブリー,800,J1-03,みらいコレクション,4月4日（木）～5月22日（水）
j1_08,J1-08,PR,はあと♡パールワンピ,ワンピース,71014,ピンク,キューティーハピネス,ラブリー,1600,J1-04,みらいコレクション,4月4日（木）～5月22日（水）
j1_09,J1-09,PR,はあと♡パールシューズ,シューズ,71015,ピンク,キューティーハピネス,ラブリー,800,J1-04,みらいコレクション,4月4日（木）～5月22日（水）
j1_10,J1-10,PR,はあと♡パールヘアアクセ,ヘアアクセ,71016,ピンク,キューティーハピネス,ラブリー,800,J1-04,みらいコレクション,4月4日（木）～5月22日（水）
j1_11,J1-11,SR,さくらひめももトップス,トップス,71017,ピンク,スイートハニー,ラブリー,750,J1-05,みらいコレクション,4月4日（木）～5月22日（水）
j1_12,J1-12,SR,さくらひめももスカート,ボトムス,71018,ピンク,スイートハニー,ラブリー,700,J1-05,みらいコレクション,4月4日（木）～5月22日（水）
j1_13,J1-13,SR,さくらひめももシューズ,シューズ,71019,ピンク,スイートハニー,ラブリー,650,J1-05,みらいコレクション,4月4日（木）～5月22日（水）
j1_14,J1-14,SR,さくらひめももヘアアクセ,ヘアアクセ,71020,ピンク,スイートハニー,ラブリー,650,J1-05,みらいコレクション,4月4日（木）～5月22日（水）
j1_15,J1-15,SR,クローバーファンタジーイエロートップス,トップス,71021,黄,キューティーハピネス,ラブリー,650,J1-06,みらいコレクション,4月4日（木）～5月22日（水）
j1_16,J1-16,SR,クローバーファンタジーイエロースカート,ボトムス,71022,黄,キューティーハピネス,ラブリー,750,J1-06,みらいコレクション,4月4日（木）～5月22日（水）
j1_17,J1-17,SR,クローバーファンタジーイエローシューズ,シューズ,71023,白,キューティーハピネス,ラブリー,700,J1-06,みらいコレクション,4月4日（木）～5月22日（水）
j1_18,J1-18,SR,クローバーファンタジーイエローヘアアクセ,ヘアアクセ,71024,黄,キューティーハピネス,ラブリー,650,J1-06,みらいコレクション,4月4日（木）～5月22日（水）
j1_19,J1-19,SR,ティーカップ＆ソーサー,パシャっとアイテム,71025,白,ドーリーワルツ,ラブリー,650,J1-PI,みらいコレクション,4月4日（木）～5月22日（水）
j1_20,J1-20,R,デニムリボンテディベアブルーワンピ,ワンピース,71026,水色,スイートハニー,ラブリー,1000,J1-07,みらいコレクション,4月4日（木）～5月22日（水）
j1_21,J1-21,R,デニムリボンピンクパンプス,シューズ,71027,ピンク,スイートハニー,ラブリー,500,J1-07,みらいコレクション,4月4日（木）～5月22日（水）
j1_22,J1-22,R,デニムリボンヘアアクセ,ヘアアクセ,71028,水色,スイートハニー,ラブリー,500,J1-07,みらいコレクション,4月4日（木）～5月22日（水）
j1_23,J1-23,R,スクールスターポロシャツ＆スカート,ボトムス,71029,青,ガールズエール,ポップ,1000,J1-08,みらいコレクション,4月4日（木）～5月22日（水）
j1_24,J1-24,R,スクールスタースニーカー,シューズ,71030,青,ガールズエール,ポップ,500,J1-08,みらいコレクション,4月4日（木）～5月22日（水）
j1_25,J1-25,R,スクールスターヘアアクセ,ヘアアクセ,71031,黄,ガールズエール,ポップ,500,J1-08,みらいコレクション,4月4日（木）～5月22日（水）
j1_26,J1-26,R,クラッシーレッドチェックブラウス,トップス,71032,白,シークレットアリス,クール,600,J1-09,みらいコレクション,4月4日（木）～5月22日（水）
j1_27,J1-27,R,クラッシーレッドチェックスカート,ボトムス,71033,赤,シークレットアリス,クール,550,J1-09,みらいコレクション,4月4日（木）～5月22日（水）
j1_28,J1-28,R,クラッシーレッドチェックパンプス,シューズ,71034,黒,シークレットアリス,クール,500,J1-09,みらいコレクション,4月4日（木）～5月22日（水）
j1_29,J1-29,R,クラッシーブラックヘアアクセ,ヘアアクセ,71035,黒,シークレットアリス,クール,500,J1-09,みらいコレクション,4月4日（木）～5月22日（水）
j1_30,J1-30,R,ミントハートのシャボンだまセット,パシャっとアイテム,71047,緑,ガールズエール,ポップ,500,J1-PI,みらいコレクション,4月4日（木）～5月22日（水）
j1_31,J1-31,R,ピクニックギンガムグリーンケープワンピ,ワンピース,71077,緑,ドーリーワルツ,ラブリー,1000,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
j1_32,J1-32,R,ピクニックギンガムグリーンシューズ,シューズ,71078,緑,ドーリーワルツ,ラブリー,500,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
j1_33,J1-33,R,ピクニックギンガムグリーンヘアアクセ,ヘアアクセ,71079,白,ドーリーワルツ,ラブリー,500,J1-10,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
j1_34,J1-34,R,きまぐれカウガールトップス,トップス,71080,白,ロマンスビート,クール,550,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
j1_35,J1-35,R,きまぐれカウガールパンツ,ボトムス,71081,緑,ロマンスビート,クール,600,J1-11,みらいコレクション まりあコレクション共通,4月4日（木）～6月19日（水）
